date,people
2020-01-20,196043
2020-01-21,188893
2020-01-22,461984
2020-01-23,614217
2020-01-24,989632
2020-01-25,1274066
2020-01-26,1455824
2020-01-27,1228548
2020-01-28,378004
2020-01-29,460250
2020-01-30,273231
2020-01-31,286480
2020-02-01,460232
2020-02-02,363336
2020-02-03,139331
2020-02-04,123217
2020-02-05,235543
2020-02-06,210771
2020-02-07,224829
2020-02-08,426888
2020-02-09,398499
2020-02-10,168615
2020-02-11,174618
2020-02-12,306253
2020-02-13,295599
2020-02-14,359516
2020-02-15,630258
2020-02-16,582285
2020-02-17,219661
2020-02-18,227242
2020-02-19,286760
2020-02-20,22005
2020-02-21,196329
2020-02-22,293303
2020-02-23,212834
2020-02-24,77118
2020-02-25,75961
2020-02-26,131356
2020-02-27,83374
2020-02-28,89312
2020-02-29,156107
2020-03-01,130900
2020-03-02,63441
2020-03-03,60084
2020-03-04,61515
2020-03-05,65692
2020-03-06,68790
2020-03-07,123977
2020-03-08,106888
2020-03-09,51615
2020-03-10,51426
2020-03-11,57005
2020-03-12,50022
2020-03-13,52613
2020-03-14,102319
2020-03-15,89076
2020-03-16,36445
2020-03-17,36837
2020-03-18,39183
2020-03-19,37532
2020-03-20,40938
2020-03-21,72707
2020-03-22,62249
2020-03-23,25873
2020-03-24,25902
2020-03-25,62019
2020-03-26,40180
2020-03-27,41628
2020-03-28,62827
2020-03-29,53447
2020-03-30,26776
2020-03-31,34819
2020-04-01,32390
2020-04-02,27536
2020-04-03,25690
2020-04-04,42628
2020-04-05,37548
2020-04-06,15725
2020-04-07,15429
2020-04-08,18634
2020-04-09,18514
2020-04-10,18994
2020-04-11,40012
2020-04-12,39689
2020-04-13,15805
2020-04-14,16136
2020-04-15,45868
2020-04-16,20123
2020-04-17,24394
2020-04-18,45453
2020-04-19,46883
2020-04-20,18901
2020-04-21,20002
2020-04-22,21295
2020-04-23,24447
2020-04-24,23582
2020-04-25,48434
2020-04-26,44236
2020-04-27,19821
2020-04-28,25547
2020-04-29,71905
2020-04-30,106955
2020-05-01,70147
2020-05-02,74721
2020-05-03,74924
2020-05-04,49275
2020-05-05,114701
2020-05-06,32685
2020-05-07,30920
2020-05-08,28718
2020-05-09,80420
2020-05-10,69039
2020-05-11,24055
2020-05-12,24657
2020-05-13,28416
2020-05-14,29332
2020-05-15,36253
2020-05-16,69114
2020-05-17,64641
2020-05-18,25864
2020-05-19,26906
2020-05-20,29061
2020-05-21,32135
2020-05-22,34783
2020-05-23,72858
2020-05-24,71410
2020-05-25,28240
2020-05-26,29591
2020-05-27,49597
2020-05-28,33504
2020-05-29,38134
2020-05-30,74944
2020-05-31,77202
